"";"ACRIM";"BCRIM";"CCRIM";"DCRIM";"FEMALE";"SCHOOL"
"1";2;0;NA;NA;0;"HA"
"2";1;4;NA;NA;0;"HA"
"3";0;0;NA;NA;1;"HA"
"4";0;1;NA;NA;1;"HA"
"5";0;0;NA;NA;1;"HA"
"6";0;1;NA;NA;1;"HA"
"7";0;0;NA;NA;1;"HA"
"8";3;5;NA;NA;0;"HA"
"9";0;0;NA;NA;0;"HA"
"10";0;0;NA;NA;0;"HA"
"11";0;0;NA;NA;1;"HA"
"12";0;1;NA;NA;0;"HA"
"13";2;2;NA;NA;0;"HA"
"14";4;2;NA;NA;0;"HA"
"15";0;3;NA;NA;1;"HA"
"16";0;0;NA;NA;1;"GY"
"17";0;0;NA;NA;0;"GY"
"18";0;1;NA;NA;1;"HA"
"19";3;2;NA;NA;0;"GY"
"20";0;0;NA;NA;1;"HA"
"21";0;0;NA;NA;0;"HA"
"22";0;0;NA;NA;0;"HA"
"23";8;9;NA;NA;0;"HA"
"24";1;1;NA;NA;0;"HA"
"25";0;0;NA;NA;1;"HA"
"26";0;2;NA;NA;1;"HA"
"27";0;2;NA;NA;0;"HA"
"28";1;0;NA;NA;1;"HA"
"29";3;4;NA;NA;1;"HA"
"30";0;5;NA;NA;0;"HA"
"31";1;0;NA;NA;0;"HA"
"32";12;7;NA;NA;0;"HA"
"33";0;9;NA;NA;0;"HA"
"34";1;5;NA;NA;0;"HA"
"35";3;12;NA;NA;0;"HA"
"36";0;4;NA;NA;0;"GY"
"37";1;15;NA;NA;0;"GY"
"38";2;2;NA;NA;0;"HA"
"39";0;2;NA;NA;0;"HA"
"40";2;3;NA;NA;0;"HA"
"41";2;7;NA;NA;0;"HA"
"42";0;0;NA;NA;0;"HA"
"43";0;3;NA;NA;0;"HA"
"44";0;0;NA;NA;0;"HA"
"45";0;1;NA;NA;0;"HA"
"46";5;6;NA;NA;0;"HA"
"47";0;0;NA;NA;1;"HA"
"48";11;5;NA;NA;0;"HA"
"49";0;0;NA;NA;1;"HA"
"50";0;0;NA;NA;1;"HA"
"51";0;0;NA;NA;1;"HA"
"52";2;2;NA;NA;1;"HA"
"53";0;1;NA;NA;1;"RE"
"54";0;2;NA;NA;0;"HA"
"55";0;0;NA;NA;0;"HA"
"56";1;1;NA;NA;1;"RE"
"57";1;0;NA;NA;0;"RE"
"58";0;0;NA;NA;0;"RE"
"59";0;0;NA;NA;0;"RE"
"60";1;0;NA;NA;1;"RE"
"61";1;0;NA;NA;0;"RE"
"62";1;2;NA;NA;0;"RE"
"63";0;0;NA;NA;1;"RE"
"64";2;1;NA;NA;1;"RE"
"65";2;5;NA;NA;1;"RE"
"66";0;0;NA;NA;0;"RE"
"67";2;2;NA;NA;0;"RE"
"68";0;0;NA;NA;0;"RE"
"69";0;0;NA;NA;1;"RE"
"70";0;0;NA;NA;1;"RE"
"71";4;1;NA;NA;1;"RE"
"72";3;2;NA;NA;1;"RE"
"73";0;1;NA;NA;1;"RE"
"74";0;0;NA;NA;1;"GY"
"75";1;1;NA;NA;1;"GY"
"76";2;0;NA;NA;0;"GY"
"77";0;0;NA;NA;0;"RE"
"78";0;0;NA;NA;1;"RE"
"79";0;0;NA;NA;1;"RE"
"80";0;0;NA;NA;1;"RE"
"81";1;0;NA;NA;1;"RE"
"82";0;1;NA;NA;1;"RE"
"83";1;0;NA;NA;0;"RE"
"84";0;0;NA;NA;0;"RE"
"85";0;4;NA;NA;0;"RE"
"86";1;5;NA;NA;0;"RE"
"87";0;1;NA;NA;0;"RE"
"88";0;0;NA;NA;1;"RE"
"89";4;7;NA;NA;0;"RE"
"90";3;2;NA;NA;0;"RE"
"91";6;5;NA;NA;0;"RE"
"92";1;1;NA;NA;1;"RE"
"93";0;0;NA;NA;0;"RE"
"94";0;0;NA;NA;0;"RE"
"95";2;0;NA;NA;1;"RE"
"96";0;0;NA;NA;0;"RE"
"97";0;0;NA;NA;0;"RE"
"98";0;1;NA;NA;1;"RE"
"99";0;1;NA;NA;1;"RE"
"100";0;0;NA;NA;0;"GY"
"101";0;0;NA;NA;0;"GY"
"102";3;1;NA;NA;0;"GY"
"103";1;1;NA;NA;0;"GY"
"104";1;1;NA;NA;1;"RE"
"105";1;3;NA;NA;1;"RE"
"106";1;2;NA;NA;0;"RE"
"107";0;0;NA;NA;1;"RE"
"108";0;0;NA;NA;0;"RE"
"109";0;0;NA;NA;1;"RE"
"110";0;5;NA;NA;0;"RE"
"111";0;0;NA;NA;0;"HA"
"112";0;0;NA;NA;1;"HA"
"113";0;0;NA;NA;1;"RE"
"114";0;0;NA;NA;1;"RE"
"115";1;1;NA;NA;0;"RE"
"116";0;0;NA;NA;0;"RE"
"117";0;1;NA;NA;1;"RE"
"118";0;0;NA;NA;1;"RE"
"119";1;0;NA;NA;0;"GY"
"120";0;0;NA;NA;0;"RE"
"121";1;0;NA;NA;0;"RE"
"122";2;6;NA;NA;0;"RE"
"123";5;8;NA;NA;1;"RE"
"124";0;0;NA;NA;1;"RE"
"125";0;0;NA;NA;1;"RE"
"126";0;0;NA;NA;1;"RE"
"127";2;1;NA;NA;1;"RE"
"128";2;4;NA;NA;0;"GY"
"129";0;1;NA;NA;1;"GY"
"130";0;3;NA;NA;0;"GY"
"131";5;5;NA;NA;1;"GY"
"132";0;2;NA;NA;0;"GY"
"133";0;2;NA;NA;1;"GY"
"134";0;1;NA;NA;1;"GY"
"135";0;1;NA;NA;0;"RE"
"136";0;0;NA;NA;0;"GY"
"137";0;0;NA;NA;0;"GY"
"138";1;2;NA;NA;1;"GY"
"139";1;0;NA;NA;0;"GY"
"140";0;0;NA;NA;1;"GY"
"141";0;0;NA;NA;1;"GY"
"142";0;0;NA;NA;1;"GY"
"143";0;1;NA;NA;0;"GY"
"144";0;0;NA;NA;0;"GY"
"145";0;1;NA;NA;1;"HA"
"146";7;5;NA;NA;1;"GY"
"147";0;0;NA;NA;0;"GY"
"148";0;1;NA;NA;1;"GY"
"149";1;1;NA;NA;0;"GY"
"150";1;3;NA;NA;0;"GY"
"151";0;0;NA;NA;0;"GY"
"152";0;0;NA;NA;0;"GY"
"153";1;0;NA;NA;0;"GY"
"154";4;5;NA;NA;0;"GY"
"155";2;0;NA;NA;1;"GY"
"156";4;5;NA;NA;1;"GY"
"157";4;8;NA;NA;0;"GY"
"158";0;0;NA;NA;0;"GY"
"159";0;0;NA;NA;0;"GY"
"160";0;1;NA;NA;0;"GY"
"161";1;0;NA;NA;0;"GY"
"162";0;0;NA;NA;1;"GY"
"163";1;0;NA;NA;1;"GY"
"164";4;5;NA;NA;1;"GY"
"165";0;0;NA;NA;0;"GY"
"166";1;1;NA;NA;1;"GY"
"167";1;0;NA;NA;1;"GY"
"168";0;0;NA;NA;1;"RE"
"169";0;1;NA;NA;1;"RE"
"170";0;0;NA;NA;0;"GY"
"171";0;0;NA;NA;1;"GY"
"172";0;3;NA;NA;0;"GY"
"173";0;0;NA;NA;1;"GY"
"174";0;0;NA;NA;1;"GY"
"175";3;5;NA;NA;0;"GY"
"176";0;0;NA;NA;1;"GY"
"177";3;0;NA;NA;1;"GY"
"178";0;1;NA;NA;1;"GY"
"179";6;7;NA;NA;0;"GY"
"180";3;12;NA;NA;0;"GY"
"181";2;3;NA;NA;0;"GY"
"182";1;0;NA;NA;0;"GY"
"183";0;0;NA;NA;1;"GY"
"184";1;0;NA;NA;0;"GY"
"185";2;2;NA;NA;0;"GY"
"186";5;1;NA;NA;0;"GY"
"187";2;6;NA;NA;0;"GY"
"188";0;0;NA;NA;1;"GY"
"189";1;2;NA;NA;1;"GY"
"190";1;2;NA;NA;0;"GY"
"191";0;0;NA;NA;1;"GY"
"192";0;0;NA;NA;1;"GY"
"193";0;0;NA;NA;1;"GY"
"194";2;9;NA;NA;1;"GY"
"195";1;0;NA;NA;0;"GY"
"196";4;2;NA;NA;0;"RE"
"197";1;2;NA;NA;1;"RE"
"198";2;0;NA;NA;0;"RE"
"199";0;0;NA;NA;1;"GY"
"200";0;0;NA;NA;1;"GY"
"201";0;0;NA;NA;1;"GY"
"202";0;3;NA;NA;1;"RE"
"203";0;0;NA;NA;1;"GY"
"204";0;0;NA;NA;1;"GY"
"205";0;4;NA;NA;0;"GY"
"206";0;0;NA;NA;1;"GY"
"207";0;0;NA;NA;1;"GY"
"208";0;0;NA;NA;0;"GY"
"209";0;1;NA;NA;1;"GY"
"210";0;0;NA;NA;0;"GY"
"211";2;2;NA;NA;0;"GY"
"212";1;1;NA;NA;1;"GY"
"213";0;0;NA;NA;0;"GY"
"214";0;0;NA;NA;0;"GY"
"215";0;0;NA;NA;0;"GY"
"216";0;2;NA;NA;0;"GY"
"217";0;2;NA;NA;1;"GY"
"218";1;0;NA;NA;0;"GY"
"219";1;0;NA;NA;0;"GY"
"220";2;3;NA;NA;0;"GY"
"221";0;0;NA;NA;0;"RE"
"222";0;1;NA;NA;1;"RE"
"223";0;0;NA;NA;1;"GY"
"224";1;3;NA;NA;0;"GY"
"225";2;3;NA;NA;1;"GY"
"226";0;0;NA;NA;1;"GY"
"227";4;2;NA;NA;0;"GY"
"228";0;0;NA;NA;1;"GY"
"229";1;2;NA;NA;0;"HA"
"230";0;0;NA;NA;1;"HA"
"231";4;3;NA;NA;0;"HA"
"232";0;0;NA;NA;1;"HA"
"233";0;0;NA;NA;1;"HA"
"234";1;1;NA;NA;0;"HA"
"235";0;2;NA;NA;0;"HA"
"236";0;0;NA;NA;1;"HA"
"237";1;2;NA;NA;0;"HA"
"238";0;0;NA;NA;0;"HA"
"239";0;0;NA;NA;1;"HA"
"240";1;0;NA;NA;0;"HA"
"241";1;0;NA;NA;0;"HA"
"242";1;0;NA;NA;1;"HA"
"243";0;1;NA;NA;1;"HA"
"244";0;0;NA;NA;0;"HA"
"245";0;2;NA;NA;0;"HA"
"246";1;0;NA;NA;0;"HA"
"247";0;0;NA;NA;1;"RE"
"248";1;0;NA;NA;0;"RE"
"249";0;0;NA;NA;0;"RE"
"250";0;0;NA;NA;0;"RE"
"251";3;7;NA;NA;1;"GY"
"252";0;0;NA;NA;1;"GY"
"253";2;2;NA;NA;1;"GY"
"254";0;0;NA;NA;1;"GY"
"255";1;1;NA;NA;1;"GY"
"256";1;3;3;NA;0;"GY"
"257";0;0;0;NA;1;"GY"
"258";0;0;0;NA;1;"GY"
"259";NA;0;0;NA;0;"GY"
"260";0;0;0;NA;1;"GY"
"261";0;1;0;NA;0;"GY"
"262";0;0;1;NA;0;"GY"
"263";0;1;0;NA;1;"GY"
"264";1;1;1;NA;0;"GY"
"265";0;0;NA;NA;1;"GY"
"266";0;0;2;NA;1;"GY"
"267";0;1;4;NA;1;"GY"
"268";0;1;1;NA;1;"GY"
"269";0;0;0;NA;0;"RE"
"270";NA;0;1;NA;0;"RE"
"271";NA;1;0;NA;1;"RE"
"272";2;1;0;NA;0;"GY"
"273";0;0;2;NA;0;"GY"
"274";0;0;1;NA;1;"GY"
"275";0;0;0;NA;0;"GY"
"276";0;0;0;NA;1;"GY"
"277";0;0;0;NA;1;"GY"
"278";1;0;0;NA;0;"GY"
"279";0;0;1;NA;0;"GY"
"280";6;3;2;NA;1;"GY"
"281";0;0;0;NA;1;"GY"
"282";NA;4;4;NA;0;"RE"
"283";0;0;2;NA;0;"GY"
"284";NA;3;2;NA;1;"RE"
"285";NA;0;5;NA;1;"RE"
"286";0;0;0;NA;1;"GY"
"287";NA;1;0;NA;1;"GY"
"288";0;0;0;NA;1;"GY"
"289";2;2;3;NA;0;"GY"
"290";NA;5;11;NA;0;"GY"
"291";0;NA;0;NA;0;"GY"
"292";3;3;3;NA;0;"GY"
"293";NA;4;5;NA;1;"HA"
"294";NA;0;0;NA;0;"HA"
"295";0;NA;1;NA;0;"RE"
"296";0;0;0;NA;0;"GY"
"297";0;3;2;NA;0;"RE"
"298";NA;8;3;NA;0;"RE"
"299";1;4;1;NA;0;"RE"
"300";5;3;0;NA;1;"RE"
"301";NA;0;0;NA;0;"HA"
"302";0;0;12;NA;0;"HA"
"303";NA;7;13;NA;0;"HA"
"304";NA;0;0;NA;0;"HA"
"305";2;0;1;NA;0;"HA"
"306";2;0;2;NA;1;"HA"
"307";NA;1;0;NA;1;"HA"
"308";NA;1;1;NA;0;"RE"
"309";0;0;0;NA;1;"HA"
"310";0;0;1;NA;0;"HA"
"311";4;5;4;NA;0;"HA"
"312";NA;12;14;NA;0;"HA"
"313";NA;9;6;NA;0;"HA"
"314";NA;0;0;NA;0;"HA"
"315";NA;0;1;NA;0;"HA"
"316";0;1;0;NA;0;"HA"
